Date, Open, High, Low, Close
03/25/04, 1091.33, 1110.38, 1091.33, 1109.19
03/24/04, 1093.95, 1098.39, 1087.06, 1091.33
03/23/04, 1095.40, 1101.52, 1091.57, 1093.95
03/22/04, 1109.78, 1109.78, 1089.49, 1095.40
03/19/04, 1122.32, 1122.72, 1109.69, 1109.78
03/18/04, 1123.75, 1125.50, 1113.25, 1122.32
03/17/04, 1110.70, 1125.76, 1110.70, 1123.75
03/16/04, 1104.49, 1113.82, 1102.61, 1110.70
03/15/04, 1120.57, 1120.57, 1103.36, 1104.49
03/12/04, 1106.78, 1120.63, 1106.78, 1120.57
03/11/04, 1123.89, 1125.96, 1105.87, 1106.78
03/10/04, 1140.58, 1141.45, 1122.53, 1123.89
03/09/04, 1147.20, 1147.32, 1136.84, 1140.58
03/08/04, 1156.86, 1159.94, 1146.97, 1147.20
03/05/04, 1154.87, 1163.23, 1148.71, 1156.86
03/04/04, 1151.03, 1154.97, 1149.81, 1154.87
03/03/04, 1149.10, 1152.44, 1143.78, 1151.03
03/02/04, 1155.97, 1156.54, 1147.31, 1149.10
